名称,图片,主料,辅料,调料,口味,方法,地域,季节,步骤,热量(卡路里),营养
孜然大虾,252419.jpg,大虾,孜然粉 盐 辣椒粉,,孜然,,,秋季食谱,"['鲜虾洗净减须', '锅中放油，多一些', '倒入大虾，翻均匀', '大火炸制，刚开始锅里会有很多气泡', '慢慢虾开始变色', '到这个时候可以转小火了', '等锅中没有水分，开始有些微的烟，而且能闻到很香的味道，就炸好了', '盛出，加少许盐', '适量的辣椒粉', '多一点的孜然粉', '搅拌均匀，出盘']",150,富含蛋白质、含锌、维生素E
南乳花生焖鸡翅,397458.jpg,鸡翅 花生米,大葱花 姜 蒜 香葱花 腐乳 腐乳汁 生抽 蚝油 白糖,,糟香,,,春季食谱,"['准备食材，鸡翅洗净，花生备好。', '花生米放水中泡软。', '鸡翅清洗干净，对半切开。', '锅中注入水，加入料酒，将鸡翅冷水下锅，开着锅盖将水煮沸煮出浮沫。', '取出沥水备用。', '红腐乳、腐乳汁、生抽、蚝油、白糖调匀成酱汁。', '大葱切葱花，姜去皮切成片，蒜瓣去皮拍碎。', '起锅热油，加入葱姜蒜爆香。', '加入鸡翅翻炒片刻。', '加入酱汁翻炒上色。', '加入清水，花生大火煮开转小火加盖炖煮至食材软烂。', '开盖，转大火收汁。', '出锅装盘撒上香葱花。']",200,富含蛋白质、脂肪、维生素E
红酒牛排,230466.jpg,牛排 红酒,小番茄 西兰花 柠檬 黑胡椒粒 盐 黄油 蒜 蚝油 莳萝 白糖,,其他,,,冬季食谱,"['准备好食材。', '牛排两面的肉用刀背剁松。', '加入盐、蚝油、料酒、黑胡椒粒腌制一小时。', '最后再撒点莳萝。', '锅中加入红酒和白糖，熬到汁变的浓稠备用。', '锅用小火烧热，加入黄油化后加几个拍扁的蒜炸香。放入牛排煎到两面七成熟。', '锅中水烧开加入西兰花煮熟，捞出。', '放到盘子中，淋上红酒汁，挤上柠檬汁。']",250,富含蛋白质、铁元素
凉拌甜味凉粉,333730.jpg,凉粉,红糖 葡萄干 松子仁 榛子仁 核桃仁,,甜味,,,夏季食谱,"['准备好原材料；', '将红糖倒入锅中，加入3勺水；', '小火慢慢熬煮成浓稠的红糖汁；', '凉粉放入小碗中；', '浇淋上红糖汁；', '再在表面撒上果仁和葡萄干即可，吃时搅拌均匀。', '可以开吃了。']",100,富含维生素、含蛋白质
青汁芒果西米露,339781.jpg,青汁 芒果 西米 纯牛奶,细砂糖,,甜香,,,夏季食谱,"['准备好芒果，切成丁块', '把纯牛奶倒入芒果丁中', '再添加青汁、西米、细砂糖，搅拌均匀', '放入冰箱冷藏，这样简单又营养的青汁芒果西米露就做好了']",100,富含维生素、含蛋白质
葱爆蛋,244327.jpg,鸡蛋 大葱,盐,,清淡,,,夏季食谱,"['大葱切片', '打入三个鸡蛋，加一点盐搅拌均匀', '热锅热油', '倒入搅拌好的鸡蛋液', '先不要用铲子翻动，等到底部凝固', '翻面，炒至全部蛋液成块状', '出锅！卷饼吃吧！']",150,富含蛋白质、维生素A、维生素B、铁元素
海鲜焖子,261239.jpg,姜 鱿鱼 黄瓜 鲜虾 蒜 葱 香菇 焖子 胡萝卜,芝麻酱 味精 蚝油 糖 盐 水淀粉 玉米油 一品鲜酱油,,咸鲜,,,秋季食谱,"['好久没有吃最爱滴焖子啦今天要好好犒劳一下家人噢', '将焖子切成菱形块状备用', '锅中倒入适量玉米油中小火煎制焖子', '一面煎至出有疙金黄色即可再煎另一面煎焖子一定要煎出疙才好吃哦', '合理利用时间在煎焖子的同时处理一下鱿鱼和其它配料，鱿鱼要开膛括肚清除内脏，再去皮备用', '鱿鱼切十字花刀再切成小段', '锅中烧开水将鱿鱼快速焯一下', '焯好鱿鱼立即放入冷水中冲凉', '沥干水份的鱿鱼卷是非常诱人噢', '准备配料香菇、黄瓜、胡萝卜备用', '黄瓜、胡萝卜切成马蹄片西瓜斜切块状这样既美观又好入味', '焖子煎好摆入盘中', '锅中放入底油加热放入葱姜蒜爆香', '放入一品鲜酱油、蚝油、糖翻炒入味', '先放入胡萝卜和香菇翻炒均匀', '再放入鱿鱼和虾仁一起翻炒均匀', '然后放入黄瓜翻炒，黄瓜不能放早了会变色变软即影响口感又不美观', '最后放入盐和味精提味淋入水淀粉勾芡翻炒均匀即可', '做好的海鲜小炒盛入摆好的焖子盘中', '好吃的不得了每一口都是香香滴、鲜鲜滴、美美滴', '家人夸我比外面要好吃的多我幸福不要不要的', '传统的经典美食真是受之无愧啊', '是我们家宴客必备美味哦']",100,富含蛋白质、含碘、维生素A
竹荪枸杞排骨汤,373350.jpg,精肋排 竹荪 枸杞,姜 盐 黑胡椒粉 葱,,微辣,,,秋季食谱 冬季食谱,"['葱切大段，姜切大片备用。', '猪精肋排适量。', '凉水入锅，绰去血水，再用温开水清洗遍备用。', '砂锅适量水烧热。', '排骨放入。(不用等开锅)', '葱段姜片放入，大火烧开，中小火炖40分钟。', '竹荪适量，剪去头尾。', '凉水泡发10分钟。', '开水烫一下，去除竹荪涩味。', '放在砂锅炖20分钟。此时汤色已白。', '关火。', '枸杞撒入，葱花姜末，香菜碎，胡椒粉，盐调味。', '成品。喜辣的撒上小米椒碎。']",150,富含蛋白质、含维生素、铁元素
芦笋炒蛋,330238.jpg,芦笋 蛋 蒜,米糠油 盐 料酒,,咸鲜,,,春季食谱,"['芦笋去老梗，斜切成段，放沸水中焯水半分钟，捞出过凉水', '蛋打在碗中，加盐，料酒，水搅匀', '锅中放油烧热，下入蛋炒碎，盛出', '锅中另放少许油，下入蒜片煸香，下入芦笋翻炒', '合入蛋液，加盐，料酒调味', '出锅']",120,富含维生素A、蛋白质、铁元素
红豆汤圆,213354.jpg,糯米粉 白芝麻 白砂糖 红豆沙馅 水,,,其他,,,元宵节,"['芝麻放入烤箱上下火100度烤至金黄，烤好的芝麻与白糖混合均匀（备用）', '糯米粉加入温开水和成团，以软硬适中，不粘手为好', '将和好的面团分割每个15克的小面团，将小面团放在掌心柔成圆球状，用拇指在球顶压一小窝，放入馅料', '用手指将窝口逐渐捏拢，再放在掌心轻轻搓圆即可', '清水大火烧至沸腾，把包好的汤圆下锅煮至浮起即可食用', '这是煮好的，看着特别大个', '想要更多风味，可以将熟汤圆滚芝麻，又是另一番风味哦']",100,富含淀粉、含蛋白质、维生素B
话梅猪手,259168.jpg,猪手,话梅 冰糖 食用油 酱油 葱花 盐 姜,,酸咸,,,夏季食谱,"['猪手斩件刮洗干净，焯水后再用冷水冲洗一下，沥水备用；姜切片备用', '热锅放少量油爆香姜片加入猪手爆炒片刻', '将猪手移入瓦煲内，加入话梅、冰糖、两勺鲜酱油', '加水至基本浸过猪手', '盖上盖子大火烧开改中小火焖', '期间打开盖子用筷子翻转一下以防糊底', '快收汁时调入少许盐（我加了大概1/4茶匙，可以试下味，觉得味道适合自己就不加）', '关火。撒入少许葱花，可以原煲上桌，也可以装盘', '本人较懒原煲上桌，大家将就一下看吧！']",500,富含胶原蛋白、含脂肪、维生素B
客家凉粉,400738.jpg,仙人粄粉,开水,,原味,,,夏季食谱,"['准备两包仙人粄粉，参照包装袋的说明，准备开水。两小包粉，一包粉末十二克，我煮了大概四小碗开水。', '把两小包仙人粄粉倒入碗里，加四五勺凉开水调匀至无颗粒状。', '然后把煮开的开水慢慢倒进调好的仙人粄粉碗里，一边加水另一只手拿筷子一边搅动。最后，那勺子把多余的浮沫撇去。等它慢慢凉却就可以放进冰箱冷藏几个小时。', '冷藏后就可以吃啦，依个人喜好，加白糖，或加蜂蜜。还可以做用来做烧仙草，芋圆的材料，QQ的，很好吃。']",100,富含碳水化合物、含蛋白质
香蕉红枣酸奶煎饼,357610.jpg,鸡蛋 香蕉 红枣酸奶 炼乳 面粉,植物油 黑芝麻,,奶香,,,秋季食谱,"['准备好原材料:红枣酸奶、面粉、香蕉、鸡蛋、炼乳(还有植物油和黑芝麻，没拍)', '鸡蛋打散，加入炼乳(约1大匙)搅拌均匀', '香蕉压成泥(熟透的香蕉更好)，不用压的很细，有点颗粒吃起来更好', '把香蕉泥加到蛋液里搅匀', '筛入面粉', '搅拌到无面粉颗粒', '加入酸奶', '搅拌成均匀的面糊，酸奶的量可自行调整，喜欢吃薄饼酸奶就多加点，让面糊稀一点，喜欢吃厚点松软的，酸奶就少加，让面糊浓稠一些', '加入植物油、黑芝麻，搅拌均匀', '平底不粘锅烧热，不用放油，舀一勺面糊到锅中心，用勺背轻轻摊开，我这次做的是厚一些的煎饼，面糊没有摊得很薄。', '如图，待表面面糊大部分变色透亮，晃动锅底，煎饼可自由滑动时，底面就煎好了', '翻面，煎另一面，两面煎熟即可。看，煎好的样子很像铜锣烧吧', '成品。偶尔一口可以吃到香蕉颗粒，伴着奶香和枣香，松软可口。']",200,富含碳水化合物、蛋白质、维生素C、钙
酸甜藕片,421685.jpg,莲藕,蜂蜜 苹果醋 干辣椒 食盐,,酸甜,,,秋季食谱,"['食材莲藕、果醋、蜂蜜、干辣椒。', '莲藕洗净去皮，切成薄片。', '切好的藕片放入淡盐水中浸泡一会，冲洗去淀粉。', '锅中放水，水沸后，放入浸泡过的藕片焯水。', '焯过水的藕片放入冷水中过凉。（过凉的藕片更爽脆）。', '干辣椒剪成丝备用。', '过凉的藕片控干水份，放入容器中，加入干辣椒丝，蜂蜜、加入果醋拌匀，腌渍10分钟即可食用。', '酸甜微辣，爽脆清口。', '成品！']",130,富含维生素C、含膳食纤维
白萝卜烧牛筋,306259.jpg,牛筋 牛肉 白萝卜,盐 料酒 生抽 大葱 姜 大蒜 八角 桂皮 香叶 十三香 山楂 洋葱,,原味,,,冬季食谱,"['牛肉和牛筋泡出血水，切块', '焯水后沥净水分', '将所有调料放入电压力锅内胆，选择牛筋或豆类程序，启动', '完成后倒入铁锅内', '白萝卜洗净切块，加适量温水', '大火煮沸后，盖上锅盖，小火焖至萝卜软烂即可']",150,富含蛋白质、维生素C、钙
小米养身米糊,247158.jpg,小米 水,糯米,,原味,,,秋季食谱,"['小米糯米洗净', '将材料加入豆浆机，加入适量的水', '启动迷糊按钮', '软糯的米糊就大功告成啦（喜欢甜味的朋友们可以加糖）']",100,富含碳水化合物、含蛋白质、维生素B
玉米鲍菇排骨汤,236830.jpg,排骨 玉米 杏鲍菇 枸杞 香叶,味精 盐,,咸鲜,,,秋季食谱,"['排骨洗洗滚水下，穿烫水煮2分钟捞出', '玉米切小块，杏鲍菇切滚刀', '煲锅最底下放上玉米，中间排骨。最上面放上杏鲍菇【玉米在最底下释放甜味至排骨，排骨出油至杏鲍菇吸收】', '香叶增加香气，枸杞调节机能【根据自己喜好也可以加上一些其他材料】', '倒上适量的水，小火煲煮2、3个小时。食用前加少许味精和盐调味即可', '美味的排骨汤完成', '美味', '你试试....']",100,富含蛋白质、维生素B、铁元素
肠仔面包,240207.jpg,面包粉 砂糖 牛奶 鸡蛋 沙拉酱,黄油 酵母 盐 小香肠,,甜味,,,儿童节,"['将所有材料（除黄油外）先液体后固体的顺序全部倒入面包机中，搅拌混合，目的是避免面粉飞扬。', '设置2个面包机“和面”搅拌程序20分钟。加入室温软化黄油，再次开启面包机“和面”功能，运行两次10分钟，直至面团成光滑状，可拉出透明薄膜。', '拿出面团放到台面上摔打揉按至光滑状。刚开始摔打的面团是很粘手的，可适当撒些干粉一并揉搓摔打，当摔打至筋道越来越强的时候面团开始变得越来越不沾手。', '此时把面团滚成圆状放进盆中中盖上盖进行第一次的发酵，时间是1小时。', '1小时后面团已经发酵至原来的几倍大，这个时候用手指沾上一点面粉插进面团里，拿出来的时候面团不收缩不回塌，证明这个面团的发酵是非常的成功了。', '发酵的面团用面棍按压排气。', '平均分成均等份，盖上保鲜膜松弛10分钟。', '拿出来其中一个面团滚圆，揉成长椭圆状，利用面棍在面团中间压出一条沟。', '然后把肠仔放到中间，利用刮板把完成的面包胚小心铲起放到烤盘上。', '预热烤箱200度2分钟后关闭烤箱，把面包胚放进烤箱里进行第二次的发酵。或者可以放入一碗热水进烤箱里，这样有效保持烤箱里的湿度让面团发酵漂亮。发酵时间为1小时。在二次发酵完成的面包胚上刷一层蛋液。', '挤上沙拉酱，放入预热好的烤箱内170度烘烤30分钟表面呈金黄色就可以出炉了。', '烤好的肠仔面包，外皮酥脆，内心柔软，外加香肠的甜香，味道棒棒的。', '真的好好吃哦。再来杯牛奶就更赞了。']",250,富含蛋白质、含碳水化合物、维生素B
荠菜鲜肉馅饼,320012.jpg,荠菜 肉馅,葱花 酱油 蚝油 花椒油 香油 盐 鸡精 十三香 食用油 清水,,咸鲜,,,春季食谱,"['准备好主要食材。', '缓慢多次的向面粉中加水，并用筷子轻轻搅拌，最后用手揉成一个三光面团，盖上盖子静置一会儿。', '荠菜洗干净，入锅焯烫片刻。', '把荠菜捞出来稍微晾凉。', '挤掉多余的水分。', '把荠菜切碎。', '肉馅加水搅打上劲后与荠菜混合，再加点葱花。', '加入上述所有调料。', '搅拌均匀。', '面团取出来滚成长条。', '揪成大小适宜的剂子，把剂子撮圆按扁。', '擀成皮。', '在饺子皮中放入适量的馅料。', '包成包子状。', '锅中刷层油烧热，把包子放入锅中按扁中火烙制。', '中途翻面。', '两面都烙熟后出锅装盘。']",300,富含蛋白质、维生素C、铁元素
大骨头炖酸菜,227692.jpg,大骨头 葱 八角 料酒 花椒粉,酸菜 姜 盐 醋 鸡精,,酸咸,,东北菜,冬季食谱,"['大骨头洗净，用热水焯煮一会', '葱切段姜切片，八角备好', '酸菜备好', '大骨头炒好后捞出', '移入高压锅中，放入葱姜、八角、花椒粉、生抽、盐，少量料酒，盖盖上汽后17分中关火', '煮好的大骨汤', '下入洗净攥去水分的酸菜，开盖子炖15分钟，酸菜好了关火。', '盛出', '成品图']",100,富含蛋白质、维生素C、钙
芸豆土豆面卤,333695.jpg,芸豆 土豆 木耳 五花肉 鲜面条 鸡蛋,葱 韭菜 盐 鸡精 料酒 生抽 花生油 水,,咸鲜,,,夏季食谱,"['食材择洗干净备齐', '芸豆切丁', '土豆切丁', '水发木耳撕成小朵', '葱切豆瓣葱，韭菜切小段', '五花肉切丁', '热锅放油及肉丁', '肉丁炒香', '放葱花爆香，加料酒，生抽烹锅', '放食材', '翻炒均匀，炒至基本断生', '加水烧开，加入适量的盐', '鸡蛋加少许水打散', '淋在汤卤上，撒韭菜段，少许鸡精调匀即可', '煮面过程累同本人菜谱中的《芸豆海鲜打卤面》。煮好面浇上面卤开吃。做为一个吃货后面的照片忘拍了，用了一张以前的照片请大家包涵！']",100,富含碳水化合物、含蛋白质、维生素B
脆炸豌豆凉粉,333778.jpg,豌豆粉,盐 低筋面粉 糯米粉 泡打粉 油 水 干辣椒面,,麻辣,,云南菜,,"['豌豆粉调制豌豆粉和水的比例是1：5我没有量豌豆粉用了几克、水用了几毫升，而是用了一整满碗的干粉、五整满碗的水，这样比较方便。', '加入一碗水调匀（此时的五份水已经用掉一份了）', '调好的豌豆粉，静置一小时以上', '煮锅内加入剩余的四整满碗的水（其实我在这里实际的用水量是三碗半，水加多少还是要看具体情况）水烧开后转小火，慢慢边搅编倒入泡好的豌豆粉，快熟时加入适量的盐要一边煮一边不停的搅拌，煮十分钟以上，一定要煮到粘稠才熄火', '煮好的豌豆粉倒入模具里静置，自然放凉（也可放凉后送冰箱冷藏2小时左右）', '放凉后的豌豆粉，从模具里倒扣出，再切成厚片，待用', '把低筋面粉、糯米粉、泡打粉、油、水放碗里调匀，制成脆浆把切成厚片的豌豆凉粉裹上脆浆，放入油锅炸制，即可吃时配上干辣椒面（不能吃辣的可换成其他自己喜欢的调料）', '成品']",150,富含蛋白质、碳水化合物、维生素C
土豆泥糯米饼,245287.jpg,土豆泥 白糖,糯米粉 黑芝麻,,甜味,,,夏季食谱,"['土豆去皮上锅蒸熟。（用筷子扎一下，能扎透就熟了）', '用小勺子压成泥，加入糯米粉和成光滑的面团。', '再平均分成小面团。', '放到砧板上用手掌按压成扁扁的小圆饼。表面撒上黑芝麻，再轻轻的按压一下。（用熟芝麻会更香哦。）', '用刮板铲起移动。（饼胚非常的软，用手不好拿起，用刮板就非常的方便了）', '平底锅里放少许的油，小火煎。', '两面煎至金黄色就可以了，出锅装盘。', '成品图，香甜软糯。', '成品图。简单易做。', '成品图，冬季里的美味。', '成品图，满满的芝麻香，健康养生。']",200,富含碳水化合物、含蛋白质
橙蜜莲藕,166668.jpg,莲藕 橙子,盐 蜂蜜 白砂糖,,甜味,,,夏季食谱,"['准备所需材料。', '莲藕去皮洗净切成薄片。', '把切成片的莲藕泡在凉水盆中。（中途换水两次）', '锅放入清水烧开，将藕片放入开水平中迅速焯烫一下。', '把焯烫好的藕片捞起。', '过冷水后捞起沥干水份。', '橙子取果肉。', '用料理机打成汁。', '倒出果汁过滤出果渣。', '橙汁加入半小匙盐。', '再加入1大匙蜂蜜。', '加入适量的糖，把橙汁调匀。', '把藕片放入橙汁里泡浸，腌至色泽呈淡黄色。', '盖上保鲜膜放冰箱冷藏后即可食用。']",100,富含维生素C、膳食纤维
肉末蒸豆腐皮,504958.jpg,肉末 豆腐皮 胡萝卜,,,咸鲜,,,秋季食谱 冬季食谱,"['豆腐皮提前泡发软', '胡萝卜擦丝、肉末中加入肉馅调料拌匀', '静止一会儿', '取豆腐皮包裹起来', '摆放好', '冷水上锅大火蒸20分钟左右', '调好汁', '锅中倒入少许油、下入调汁料', '淋在蒸好的豆腐皮上', '撒上葱花、太香了。']",150,富含蛋白质、含钙、维生素E
熊猫馒头,132569.jpg,普通面粉 水 酵母 色拉油 盐 白糖,普通面粉 巧克力粉 白糖 清水,,甜味,,,儿童节,"['将白面团原料部份，揉面光滑的面团；', '静置发酵，约2倍大，即可；（大热天，发酵速度太给力了。所以，注意别发酵过头了哟）', '黑面团部份，揉成光滑的面团放碗里备用；', '将发酵好的白面团分割成均匀大小的小面团；', '用手滚成圆形；（两手捏住面团两边，向外朝底翻，反复两三次，面团表面就光滑了）', '取1/3黑面团搓成细长条，揪出熊猫的耳朵，粘在白面团上方两侧；', '桌面撒点干粉，将剩下的黑面团先擀成面片，然后用带有大小圆孔的工具印出熊猫的眼睛', '微拉扯一下成椭圆形，然后粘在白面团上，可沾点水增加粘度；熊猫馒头胚就完成了！', '蒸锅里先装好水，蒸架上抹成簿油防粘；将熊猫馒头胚摆入，注意每个之间要留有空隙；蒸之前，进行第二次发酵，30分钟左右；', '然后开火，大火，蒸制15分钟；关火后，不要急着开盖，虚蒸3分钟，大功告成啦……']",0,碳水化合物
怪味鸡,507895.jpg,三黄鸡,葱段 姜片 栀子 料酒,花生碎 熟芝麻 芝麻酱 辣椒油 香油 生抽 陈醋 白糖 花椒粉 香葱 大蒜 姜,怪味,,川菜,,"['主要食材，三黄鸡，姜片、葱段、栀子。', '黄鸡去除全部内脏，剪去指甲，切去鸡屁股冲洗干净。', '凉水放入锅中，加入姜片、葱段、2个栀子烧沸后改最小火煮15分钟左右。', '用筷子扎一下没有血水冒出即可。', '煮好的三黄鸡取出稍稍晾凉。', '调味料大集合。', '芝麻酱中加入香油、红油充分调匀，搅拌到顺滑。', '再依次加入剩余的调料。', '大蒜、香葱、姜分别切末。', '切好的葱姜蒜末也放入调料碗中拌匀。', '稍凉的鸡斩块。', '码入盘中上，淋调好的怪味汁，最后把熟芝麻仁和花生碎撒在上边即可。']",200,富含蛋白质、维生素B
翡翠杏鲍菇,337156.jpg,杏鲍菇 胡萝卜 碗豆,盐 生抽 料酒,,咸鲜,,,夏季食谱,"['准备食材', '胡萝卜和杏鲍菇切成丁', '热油放胡萝卜丁先炒', '炒出香味放入杏鲍菇翻炒均匀', '加入碗豆翻炒', '加盐加料酒加鲜露翻炒', '翻炒一分钟出锅']",100,富含维生素、含蛋白质、铁元素
翡翠卷饼,293033.jpg,面粉 鸡蛋 油菜,盐,,原味,,,春季食谱,"['油菜用果语原汁机摇出油菜汁', '面粉，鸡蛋，盐，把油菜汁放入', '把所有食材搅拌成糊', '平底锅其他一层薄油，把搅好的糊倒入', '翡翠饼就烙好了', '卷上炒好的土豆丝胡萝卜丝，儿子吃到撑', '上张成品图']",300,富含碳水化合物、含膳食纤维、维生素A
圣诞花环面包,365325.jpg,面粉 奶粉 鸡蛋 盐 糖 酵母 黄奶油 温水,面包改良剂 豆沙,,甜香,,,圣诞节,"['黄奶油锅中热化。', '用温水化开酵母，其余的料加入面内，加水和成面团，揉匀揉光。', '将柔光的面团擀成椭圆形，用刮刀把两边切成1厘米宽的条。', '豆沙装入裱花袋内，挤在中间。', '两边的面团左右交叉编成辫子形状。', '卷成花环型，摆放在蛋糕纸上，放入烤盘，入温暖潮湿处进行发酵。', '发酵好的花环，刷上全蛋液。入预热好烤箱，180度，20分钟。', '出炉后撒上糖粉，', '成品图', '成品图']",300,富含碳水化合物、含蛋白质
盐烤五香花生米,256194.jpg,花生米,八角 桂皮 香叶 花椒 盐,,咸鲜,,,春季食谱 夏季食谱 秋季食谱 冬季食谱,"['花生米洗干净，用清水浸泡20分钟。', '泡好的花生米放到小锅里，加入花生米双倍的水，再加八角、桂皮、香叶、花椒、盐，冷水开始煮，水开后再煮20分钟。盐也比平时多3倍；', '大火烧开，小火煮好。', '为了让花生更入味，我在锅里直接放到冷却。', '将煮好的花生沥干水分，放到铺有锡纸的烤盘上。', '上下火160度，烤40分钟，20分钟的时候拿出来给花生米翻个身。', '喜欢干的，就多烤烤，我烤的不是很干，吃着不上火。']",100,富含维生素E、含蛋白质、含脂肪
凉拌荠菜,388910.jpg,荠菜 蒜末,生抽 醋 香油,,咸鲜,,,春季食谱,"['荠菜择洗干净后焯水。', '取焯好后的荠菜，挤去水份，蒜切末。', '荠菜切碎。', '蒜末放碗里，加入生抽，醋，香油拌匀。', '再放入荠菜拌匀即可。', '成品图。']",40,富含维生素A、维生素C、钙、铁元素
鱼头豆腐,285859.jpg,鱼头 豆腐 蒜头 小葱 料酒,油 生姜 盐 鸡精,,咸鲜,,,夏季食谱,"['准备食材', '热锅倒油，放入姜片', '下鱼头煎一面后再翻一面，不能多翻，会碎', '加冷水瞒过鱼头，加点料酒大火煮二十分钟。', '舀去浮沫', '下豆腐和蒜头，大火煮10分钟。', '起锅钱加入盐和鸡精，撒上葱花。']",150,富含蛋白质、含钙、维生素D
酥炸带鱼,353788.jpg,带鱼,葱 姜 蒜 淀粉 酱油 料酒,,咸香,,,秋季食谱,"['将带鱼收拾干净，切段备用。', '将切好的葱、姜、蒜末放入鱼中，拌匀。', '倒入料酒，酱油，撒点胡椒粉，拌匀。放入冰箱冷藏一晚。（也可以放置一小时，我准备第二天中午吃，所以放了一晚。）', '准备好干淀粉，把鱼块单独放入淀粉中，使鱼块均匀的粘上淀粉。这一步可以稍等几分钟，等淀粉变成湿的，就可以下锅炸了。', '锅里填油，放入几粒花椒炸一下，再捞出，可以去腥。', '等油温升高，放入鱼块炸，一面微微发黄就可翻面，这样反复两次就可以了。我用的中小火。', '成品图，我喜欢炸老一点，好像不太健康，大家也可以不用炸这么老。']",217,富含蛋白质、含不饱和脂肪酸、维生素A、钙
荠菜丸子,177210.jpg,荠菜 肉馅 鸡蛋,姜 白胡椒粉 淀粉 盐,,咸鲜,,,春季食谱,"['原料如图；', '荠菜切碎后和肉馅、鸡蛋及所有调料朝一个方向搅拌成馅；', '起锅加水烧开，挤入丸子，小火慢煮；', '起锅加水烧开，挤入丸子，小火慢煮2分钟；', '即可出锅。']",100,富含维生素、含蛋白质
金针银耳,252868.jpg,黄花菜 银耳,油 盐 味精 葱,,清淡,,,夏季食谱,"['主辅料：黄花菜、银耳', '把银耳泡发。', '锅烧开水，放入洗净的黄花菜焯熟。', '捞出过冷水，浸泡1小时左右再用。期间要换水。', '把浸泡好的黄花菜攥干水分备用。', '银耳大约泡发20分钟就可以。', '把银耳撕成小朵，洗净。捞出，沥干水分备用。', '热油、炒香葱花。', '放入黄花菜。', '翻炒均匀后，放入银耳。', '旺火快速翻炒。', '加盐、味精调味。', '翻炒均匀，即可关火。', '出锅装盘，即可上桌。']",100,含蛋白质、维生素D、铁元素
甜甜圈,243940.jpg,面粉 黄油 牛奶 鸡蛋 肉桂粉 砂糖 泡打粉 盐,糖霜,,甜味,,,圣诞节,"['准备材料。', '面粉加盐，肉桂粉，泡打粉搅拌。', '鸡蛋加糖。', '搅拌至颜色变浅。', '加入面粉，分3次添加完全。', '加入牛奶和融化的黄油，分2次添加。', '搅拌成团，很柔软，醒30分钟。', '揉成圆滑的面团，擀开。', '用模子压出甜甜圈。', '入油锅炸。', '成深棕色即可。', '撒上自己喜欢的糖霜即可，装饰随自己了。', '好吃！']",300,富含碳水化合物、含蛋白质
排骨炖豆角,254947.jpg,豆角 排骨,姜 生抽 八角 桂皮 蒜 肉蔻 陈皮 大葱 香叶 老抽 盐 冰糖,,原味,,,夏季食谱,"['将豆角摘好洗净，长的中间折断，排骨洗好下冷水锅烧开焯一下去沫捞出待用，准备好调料葱姜蒜八角陈皮桂皮肉蔻香叶等。', '炒锅放油放入冰糖小火熬制，我这次因为懒用的是白糖，不过发现还是要用冰糖，因为白糖后面容易拔丝。', '糖融化后，放入排骨，大火翻炒。', '放入八角、香叶等香料，炒出香味后倒入料、生抽、老抽，继续翻炒。', '加入凉水，漫过排骨，大火烧开后转小火炖30分钟。', '多半个小时后加入豆角继续炖，去感觉水少了可加开水，尝一下汤味道如何，不咸的话加点盐，大概再炖半个小时即可出锅。', '装盘即可食用，哇唔，味道好极了，还是那个味道。😂😂😂💃🏿💃🏿💃🏿💃🏿💃🏿💃🏿']",200,富含蛋白质、含钙、维生素B
甜烧白,339133.jpg,糯米 五花肉 芝麻馅,红糖 猪油 白糖,,甜味,,川菜,,"['红糖加适量水熬汁备用，糯米煮好备用', '在圆底碗上覆一层保鲜膜，并浇上红糖', '五花肉切薄片，两片之间加入一点芝麻馅，并平整的放几块在红糖上', '在煮好的糯米中加红糖，猪油，白砂糖，并搅拌均匀', '把糯米倒入五花肉上', '将其蒸2个小时左右，然后拿出倒放在平盘上', '在其上撒上白砂糖做点缀']",100,富含蛋白质、含脂肪
牛奶西瓜布丁,224386.jpg,牛奶 西瓜汁 吉利丁片,白糖,,甜味,,粤菜,,"['吉利丁片用水泡软。', '牛奶倒入锅中，加入白糖，微微煮开。', '放入10g吉利丁片，搅拌至融化，放凉。', '倒入1/3于杯子中。', '盖上保鲜膜，放入冰箱冷藏至凝固。', '西瓜榨成汁，滤掉肉渣。', '放入剩下的10g吉利丁片。', '隔热水搅拌至融化。', '放凉后倒入凝固好的牛奶杯里。', '再次放入冰箱，冷藏至凝固。', '最后将剩下的牛奶再倒入杯中，再冷藏至凝固。', '凝固好之后再表面摆上一些西瓜肉丁做装饰即可。']",100,富含蛋白质、维生素C、钙
清蒸大闸蟹,293710.jpg,大闸蟹,醋 姜 芝麻油,,咸鲜,,,秋季食谱,"['买的螃蟹是没帮的，回来自己帮的，不是那么标准，有的线结在背面，有的在肚子，请无视', '烧水里面放姜片，蒸好腥气淡点', '切点姜丝', '准备小碟或者小碗，倒一点醋，放姜丝，油，再加点白糖，搅拌一下，备用', '水开之后，放大闸蟹，注意肚子朝上，避免熟后蟹黄流出来，再把刚才那个醋碟放上一起蒸，一是为了减少蟹的腥气，二是吃的时候也没那么涩口', '蒸15分钟，注意水别干了，开盖，吃！！！']",100,富含蛋白质、维生素A
